,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
235,Jorginho\45db685d,it ITA,MF,Chelsea,30-100,1991,24,21,1868,20.8,6,2,0,6,6,4,0,0.29,0.10,0.39,0.00,0.10,5.0,0.4,2.4,2.8,0.24,0.12,0.36,0.02,0.14,Matches
236,Diogo Jota\178ae8f8,pt POR,FW,Liverpool,25-116,1996,26,20,1750,19.4,13,1,13,0,0,2,0,0.67,0.05,0.72,0.67,0.72,13.0,13.0,4.1,17.1,0.67,0.21,0.88,0.67,0.88,Matches
237,James Justin\fb614c44,eng ENG,DF,Leicester City,24-035,1998,6,4,368,4.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.13,0.14,0.27,0.13,0.27,Matches
238,Mathias Jørgensen\0db5d2c8,dk DEN,DF,Brentford,31-341,1990,7,5,428,4.8,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches
239,Ozan Kabak\2d61d13a,tr TUR,DF,Norwich City,22-005,2000,11,11,922,10.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matches
240,Christian Kabasele\914ab9a1,be BEL,DF,Watford,31-034,1991,8,4,473,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.06,0.01,0.07,0.06,0.07,Matches
241,Samuel Kalu\b8d22478,ng NGA,FWMF,Watford,24-216,1997,2,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
242,Hassane Kamara\19a12bed,ci CIV,DF,Watford,27-192,1994,11,11,983,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.4,0.01,0.03,0.04,0.01,0.04,Matches
243,Harry Kane\21a66f6a,eng ENG,FW,Tottenham,28-245,1993,28,27,2422,26.9,12,5,10,2,2,3,0,0.45,0.19,0.63,0.37,0.56,14.7,13.2,6.1,19.3,0.55,0.23,0.78,0.49,0.72,Matches
244,N'Golo Kanté\b9fbae28,fr FRA,MF,Chelsea,31-001,1991,19,14,1197,13.3,2,3,2,0,0,1,0,0.15,0.23,0.38,0.15,0.38,1.2,1.2,1.5,2.7,0.09,0.11,0.20,0.09,0.20,Matches
245,Edo Kayembe\f99b71de,cd COD,MF,Watford,23-239,1998,7,5,415,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.01,0.05,0.06,0.01,0.06,Matches
246,Moise Kean\3d50bcdb,it ITA,FW,Everton,22-030,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
247,Michael Keane\c5b7c315,eng ENG,DF,Everton,29-078,1993,25,25,2205,24.5,2,2,2,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.9,0.9,0.6,1.5,0.04,0.02,0.06,0.04,0.06,Matches
248,Naby Keïta\f25c8e3a,gn GUI,MF,Liverpool,27-048,1995,15,10,830,9.2,2,1,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,1.2,1.2,1.1,2.4,0.13,0.12,0.26,0.13,0.26,Matches
249,Caoimhín Kelleher\62d7ef38,ie IRL,GK,Liverpool,23-127,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
250,Jonjoe Kenny\099e666f,eng ENG,DF,Everton,25-015,1997,9,8,703,7.8,0,1,0,0,0,3,1,0.00,0.13,0.13,0.00,0.13,0.3,0.3,0.3,0.5,0.04,0.03,0.07,0.04,0.07,Matches
251,Max Kilman\d0f72bf1,eng ENG,DF,Wolves,24-311,1997,28,28,2507,27.9,1,0,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,1.0,1.0,0.0,1.0,0.04,0.00,0.04,0.04,0.04,Matches
252,Joshua King\43458538,no NOR,FW,Watford,30-074,1992,26,24,1967,21.9,5,3,4,1,1,4,0,0.23,0.14,0.37,0.18,0.32,7.7,6.9,3.1,10.0,0.35,0.14,0.49,0.32,0.46,Matches
253,Kristoffer Klaesson\3f70db80,no NOR,GK,Leeds United,21-123,2000,1,0,36,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
254,Mateusz Klich\282679b4,pl POL,MF,Leeds United,31-290,1990,25,20,1650,18.3,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,2.3,2.3,2.0,4.4,0.13,0.11,0.24,0.13,0.24,Matches
255,Robin Koch\ea6bc03a,de GER,MFDF,Leeds United,25-256,1996,13,11,1012,11.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,1.0,0.04,0.05,0.09,0.04,0.09,Matches
256,Sead Kolašinac\3935e52e,ba BIH,DF,Arsenal,28-283,1993,2,1,91,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
257,Ibrahima Konaté\5ed9b537,fr FRA,DF,Liverpool,22-309,1999,8,8,720,8.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
258,Ezri Konsa\0313a347,eng ENG,DF,Aston Villa,24-158,1997,23,23,1978,22.0,2,0,2,0,0,5,2,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.3,1.6,0.06,0.01,0.07,0.06,0.07,Matches
259,Cheikhou Kouyaté\8d3c902d,sn SEN,MF,Crystal Palace,32-099,1989,22,19,1665,18.5,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.5,0.5,0.7,1.2,0.03,0.04,0.06,0.03,0.06,Matches
260,Mateo Kovačić\79c0821a,hr CRO,MF,Chelsea,27-328,1994,20,13,1277,14.2,2,5,2,0,0,4,0,0.14,0.35,0.49,0.14,0.49,1.3,1.3,2.8,4.0,0.09,0.20,0.28,0.09,0.28,Matches
261,Emil Krafth\77cf6852,se SWE,DF,Newcastle Utd,27-240,1994,13,11,1033,11.5,0,1,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,0.2,0.2,0.6,0.8,0.02,0.05,0.07,0.02,0.07,Matches
262,Alex Král\e717705a,cz CZE,MF,West Ham,23-315,1998,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
263,Tim Krul\f23f9d20,nl NED,GK,Norwich City,33-361,1988,22,22,1980,22.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,Matches
264,Juraj Kucka\5aaef9ef,sk SVK,MF,Watford,35-032,1987,22,18,1586,17.6,1,1,1,0,0,4,1,0.06,0.06,0.11,0.06,0.11,2.0,2.0,1.0,3.0,0.12,0.06,0.17,0.12,0.17,Matches
265,Dejan Kulusevski\df3cda47,se SWE,MFFW,Tottenham,21-339,2000,9,7,680,7.6,2,4,2,0,0,1,0,0.26,0.53,0.79,0.26,0.79,2.4,2.4,2.3,4.7,0.32,0.31,0.62,0.32,0.62,Matches
266,Alexandre Lacazette\9dbb75ca,fr FRA,FWMF,Arsenal,30-306,1991,23,18,1529,17.0,4,7,2,2,3,0,0,0.24,0.41,0.65,0.12,0.53,7.6,5.4,1.9,7.3,0.45,0.11,0.56,0.32,0.43,Matches
267,Adam Lallana\99813635,eng ENG,MF,Brighton,33-324,1988,21,18,1514,16.8,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11,Matches
268,Tariq Lamptey\f4e433d4,eng ENG,DFFW,Brighton,21-181,2000,22,13,1277,14.2,0,2,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.6,0.6,1.9,2.4,0.04,0.13,0.17,0.04,0.17,Matches
269,Manuel Lanzini\26f6dca8,ar ARG,MF,West Ham,29-043,1993,23,13,1323,14.7,4,2,2,2,2,2,0,0.27,0.14,0.41,0.14,0.27,2.5,1.0,1.9,2.9,0.17,0.13,0.30,0.07,0.20,Matches
270,Aymeric Laporte\119b9a8e,es ESP,DF,Manchester City,27-307,1994,24,24,2080,23.1,3,0,3,0,0,5,1,0.13,0.00,0.13,0.13,0.13,3.5,3.5,0.3,3.8,0.15,0.01,0.16,0.15,0.16,Matches
271,Jamaal Lascelles\450ab6fc,eng ENG,DF,Newcastle Utd,28-139,1993,20,19,1695,18.8,1,0,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,0.7,0.7,0.3,0.9,0.04,0.01,0.05,0.04,0.05,Matches
272,Pierre Lees-Melou\f5044e54,fr FRA,MF,Norwich City,28-309,1993,24,18,1606,17.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,1.3,2.4,0.06,0.07,0.14,0.06,0.14,Matches
273,Aaron Lennon\2ff964a0,eng ENG,MFFW,Burnley,34-348,1987,18,12,1073,11.9,2,0,2,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.6,0.6,0.3,0.9,0.05,0.02,0.07,0.05,0.07,Matches
274,Bernd Leno\2628fd2b,de GER,GK,Arsenal,30-026,1992,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
275,Jamal Lewis\efb9215a,nir NIR,DF,Newcastle Utd,24-064,1998,5,4,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
276,Victor Lindelöf\f5deef4c,se SWE,DF,Manchester Utd,27-256,1994,20,18,1635,18.2,0,2,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
277,Jesse Lingard\810e3c74,eng ENG,FW,Manchester Utd,29-105,1992,13,1,210,2.3,2,0,2,0,0,1,0,0.86,0.00,0.86,0.86,0.86,0.3,0.3,0.2,0.5,0.15,0.07,0.22,0.15,0.22,Matches
278,Valentino Livramento\afed6722,eng ENG,DF,Southampton,19-138,2002,23,22,1995,22.2,1,1,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09,1.1,1.1,2.0,3.1,0.05,0.09,0.14,0.05,0.14,Matches
279,Diego Llorente\bba30585,es ESP,DF,Leeds United,28-226,1993,21,21,1710,19.0,2,0,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,0.8,0.8,0.1,0.9,0.04,0.00,0.05,0.04,0.05,Matches
280,Hugo Lloris\8f62b6ee,fr FRA,GK,Tottenham,35-094,1986,29,29,2610,29.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,0.02,0.02,0.00,0.02,Matches
281,Giovani Lo Celso\d7553721,ar ARG,MFFW,Tottenham,25-355,1996,9,2,238,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.6,1.4,0.28,0.24,0.52,0.28,0.52,Matches
282,Jürgen Locadia\6cc47ae1,nl NED,FW,Brighton,28-143,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches
283,Ruben Loftus-Cheek\e97fd090,eng ENG,MF,Chelsea,26-066,1996,15,7,780,8.7,0,2,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.9,0.9,0.9,1.8,0.11,0.10,0.21,0.11,0.21,Matches
284,Shane Long\9f472354,ie IRL,FWMF,Southampton,35-067,1987,8,1,140,1.6,1,0,1,0,0,0,0,0.64,0.00,0.64,0.64,0.64,0.4,0.4,0.0,0.5,0.29,0.03,0.32,0.29,0.32,Matches
285,Sean Longstaff\a2b105e0,eng ENG,MF,Newcastle Utd,24-151,1997,18,11,1100,12.2,1,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,1.1,1.1,0.4,1.5,0.09,0.03,0.12,0.09,0.12,Matches
286,Ademola Lookman\7c104bb7,ng NGA,FWMF,Leicester City,24-161,1997,19,12,1139,12.7,4,0,4,0,0,2,0,0.32,0.00,0.32,0.32,0.32,3.8,3.8,1.8,5.6,0.30,0.14,0.44,0.30,0.44,Matches
287,Jonas Lössl\939bc634,dk DEN,GK,Brentford,33-057,1989,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
288,Imran Louza\e1df6989,ma MAR,MF,Watford,22-333,1999,15,12,995,11.1,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.04,0.07,0.11,0.04,0.11,Matches
289,Matthew Lowton\9a9c05db,eng ENG,DF,Burnley,32-294,1989,18,17,1515,16.8,1,2,1,0,0,2,0,0.06,0.12,0.18,0.06,0.18,0.5,0.5,1.2,1.8,0.03,0.07,0.10,0.03,0.10,Matches
290,Douglas Luiz\6f7d826d,br BRA,MF,Aston Villa,23-325,1998,25,24,2063,22.9,1,3,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,1.3,1.3,2.0,3.3,0.05,0.09,0.14,0.05,0.14,Matches
291,Romelu Lukaku\5eae500a,be BEL,FW,Chelsea,28-321,1993,19,12,1212,13.5,5,0,5,0,0,0,0,0.37,0.00,0.37,0.37,0.37,4.5,4.5,2.2,6.7,0.34,0.16,0.50,0.34,0.50,Matches
292,Lyanco\b5bf1770,br BRA,DF,Southampton,25-057,1997,11,5,551,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.02,0.05,0.03,0.05,Matches
293,Alexis Mac Allister\83d074ff,ar ARG,MFFW,Brighton,23-096,1998,24,13,1337,14.9,4,2,3,1,1,3,0,0.27,0.13,0.40,0.20,0.34,3.3,2.6,1.2,3.7,0.23,0.08,0.30,0.17,0.25,Matches
294,James Maddison\ee38d9c5,eng ENG,MFFW,Leicester City,25-127,1996,26,20,1719,19.1,8,3,8,0,0,2,0,0.42,0.16,0.58,0.42,0.58,5.6,5.6,3.4,9.0,0.29,0.18,0.47,0.29,0.47,Matches
295,Harry Maguire\d8931174,eng ENG,DF,Manchester Utd,29-025,1993,24,23,2044,22.7,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.4,1.4,0.0,1.5,0.06,0.00,0.07,0.06,0.07,Matches
296,Riyad Mahrez\892d5bb1,dz ALG,FW,Manchester City,31-037,1991,22,12,1213,13.5,10,4,6,4,4,0,0,0.74,0.30,1.04,0.45,0.74,8.2,5.2,3.2,8.3,0.61,0.23,0.84,0.38,0.62,Matches
297,Ainsley Maitland-Niles\e3a5814e,eng ENG,MF,Arsenal,24-213,1997,8,2,268,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,Matches
298,Sadio Mané\c691bfe2,sn SEN,FW,Liverpool,29-354,1992,26,25,2227,24.7,12,1,12,0,0,3,0,0.48,0.04,0.53,0.48,0.53,14.3,14.3,3.6,17.9,0.58,0.14,0.72,0.58,0.72,Matches
299,Javier Manquillo\758dd7f0,es ESP,DF,Newcastle Utd,27-329,1994,18,14,1199,13.3,1,2,1,0,0,5,0,0.08,0.15,0.23,0.08,0.23,0.5,0.5,0.3,0.8,0.04,0.03,0.06,0.04,0.06,Matches
300,Fernando Marçal\9ae9eaea,br BRA,DF,Wolves,33-039,1989,16,15,1274,14.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,1.0,0.04,0.03,0.07,0.04,0.07,Matches
301,Solly March\bb5fbd2b,eng ENG,DFFW,Brighton,27-253,1994,23,11,1239,13.8,0,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.8,2.8,0.07,0.13,0.21,0.07,0.21,Matches
302,Pablo Marí\aa54ec6f,es ESP,DF,Arsenal,28-211,1993,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.15,0.05,0.21,0.15,0.21,Matches
303,Anthony Martial\8b788c01,fr FRA,FW,Manchester Utd,26-115,1995,8,2,212,2.4,1,0,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,0.4,0.4,0.1,0.6,0.19,0.06,0.25,0.19,0.25,Matches
304,Martinelli\48a5a5d6,br BRA,FWMF,Arsenal,20-285,2001,19,15,1246,13.8,5,3,5,0,0,3,1,0.36,0.22,0.58,0.36,0.58,4.3,4.3,1.5,5.9,0.31,0.11,0.42,0.31,0.42,Matches
305,Emiliano Martínez\7956236f,ar ARG,GK,Aston Villa,29-209,1992,28,28,2520,28.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
306,Adam Masina\de0f152c,ma MAR,DF,Watford,28-087,1994,11,11,866,9.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.02,0.05,0.08,0.02,0.08,Matches
307,Arthur Masuaku\57df7a11,cd COD,DFFW,West Ham,28-143,1993,12,5,560,6.2,1,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,0.1,0.1,0.9,1.0,0.02,0.14,0.16,0.02,0.16,Matches
308,Jean-Philippe Mateta\50e6dc35,fr FRA,FW,Crystal Palace,24-275,1997,14,7,652,7.2,3,1,3,0,0,1,0,0.41,0.14,0.55,0.41,0.55,2.5,2.5,1.1,3.6,0.34,0.15,0.50,0.34,0.50,Matches
309,Nemanja Matić\eb7822d7,rs SRB,MF,Manchester Utd,33-241,1988,15,10,916,10.2,0,2,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.1,0.1,0.9,1.0,0.01,0.08,0.10,0.01,0.10,Matches
310,Joël Matip\b217ef29,cm CMR,DF,Liverpool,30-234,1991,23,23,2070,23.0,1,2,1,0,0,1,0,0.04,0.09,0.13,0.04,0.13,1.9,1.9,0.8,2.7,0.08,0.03,0.12,0.08,0.12,Matches
311,Neal Maupay\4bcf39f6,fr FRA,FW,Brighton,25-228,1996,27,23,2047,22.7,8,2,7,1,1,6,0,0.35,0.09,0.44,0.31,0.40,6.2,5.5,2.1,7.5,0.27,0.09,0.36,0.24,0.33,Matches
312,Bryan Mbeumo\6afaebf2,fr FRA,FWMF,Brentford,22-235,1999,27,26,2229,24.8,3,4,2,1,1,4,0,0.12,0.16,0.28,0.08,0.24,7.1,6.4,2.2,8.6,0.29,0.09,0.38,0.26,0.35,Matches
313,James McArthur\cee31595,sct SCO,MF,Crystal Palace,34-174,1987,15,13,1165,12.9,0,2,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.9,1.2,0.02,0.07,0.09,0.02,0.09,Matches
314,James Mcatee\96593e89,eng ENG,MFFW,Manchester City,19-163,2002,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19,Matches
315,Kasey McAteer\b2c66859,eng ENG,FW,Leicester City,20-128,2001,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
316,Liam McCarron\076bb352,sct SCO,FW,Leeds United,21-023,2001,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
317,Alex McCarthy\36c2ca73,eng ENG,GK,Southampton,32-117,1989,15,15,1350,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
318,John McGinn\90f91999,sct SCO,MF,Aston Villa,27-163,1994,26,26,2280,25.3,3,2,3,0,0,7,0,0.12,0.08,0.20,0.12,0.20,1.2,1.2,3.4,4.6,0.05,0.13,0.18,0.05,0.18,Matches
319,Stuart McKinstry\1000a059,sct SCO,MF,Leeds United,19-193,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
320,Kenny McLean\471f16b3,sct SCO,MF,Norwich City,30-081,1992,27,25,2365,26.3,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.5,2.3,0.07,0.02,0.09,0.07,0.09,Matches
321,Dwight McNeil\fc15fb84,eng ENG,MF,Burnley,22-128,1999,27,26,2343,26.0,0,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,1.6,1.6,3.0,4.6,0.06,0.12,0.18,0.06,0.18,Matches
322,Scott McTominay\d93c2511,sct SCO,MF,Manchester Utd,25-112,1996,24,22,1883,20.9,1,1,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10,0.9,0.9,1.4,2.2,0.04,0.07,0.11,0.04,0.11,Matches
323,Ben Mee\8df7a2fb,eng ENG,DF,Burnley,32-188,1989,21,21,1839,20.4,3,0,3,0,0,3,0,0.15,0.00,0.15,0.15,0.15,1.8,1.8,0.1,1.9,0.09,0.00,0.09,0.09,0.09,Matches
324,Benjamin Mendy\5271c8f1,fr FRA,DF,Manchester City,27-256,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30,Matches
325,Edouard Mendy\33887998,sn SEN,GK,Chelsea,30-029,1992,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
326,Nampalys Mendy\1598599e,sn SEN,MF,Leicester City,29-280,1992,3,2,165,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
327,Illan Meslier\6b625ac2,fr FRA,GK,Leeds United,22-028,2000,30,30,2664,29.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
328,Luka Milivojević\2ce2508a,rs SRB,MF,Crystal Palace,30-357,1991,12,8,652,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.8,0.03,0.08,0.12,0.03,0.12,Matches
329,James Milner\2f90f6b8,eng ENG,MFDF,Liverpool,36-085,1986,19,7,635,7.1,0,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,1.4,1.7,0.03,0.20,0.24,0.03,0.24,Matches
330,Yerry Mina\6d5701f2,co COL,DF,Everton,27-188,1994,10,8,649,7.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches
331,Takumi Minamino\f833a830,jp JPN,FWMF,Liverpool,27-073,1995,10,0,96,1.1,2,0,2,0,0,1,0,1.87,0.00,1.87,1.87,1.87,1.5,1.5,0.4,1.9,1.40,0.42,1.82,1.40,1.82,Matches
332,Tyrone Mings\8397a50c,eng ENG,DF,Aston Villa,29-017,1993,27,26,2379,26.4,1,3,1,0,0,9,0,0.04,0.11,0.15,0.04,0.15,1.2,1.2,1.2,2.4,0.05,0.04,0.09,0.05,0.09,Matches
333,Tyrick Mitchell\5cbd1eb0,eng ENG,DF,Crystal Palace,22-210,1999,29,29,2600,28.9,0,2,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,1.2,1.5,0.01,0.04,0.05,0.01,0.05,Matches
334,Jakub Moder\f230bc30,pl POL,MFFW,Brighton,22-357,1999,27,19,1696,18.8,0,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,2.4,2.4,1.7,4.1,0.13,0.09,0.22,0.13,0.22,Matches
335,Wesley Moraes\bfae110f,br BRA,FW,Aston Villa,25-124,1996,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
336,Tyler Morton\2bc28bb9,eng ENG,MF,Liverpool,19-150,2002,2,1,66,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
337,Mason Mount\9674002f,eng ENG,MFFW,Chelsea,23-079,1999,24,19,1667,18.5,8,7,7,1,1,2,0,0.43,0.38,0.81,0.38,0.76,6.7,6.0,4.7,10.7,0.36,0.26,0.62,0.32,0.58,Matches
338,Lucas Moura\2b622f01,br BRA,FWMF,Tottenham,29-229,1992,26,17,1541,17.1,2,4,2,0,0,3,0,0.12,0.23,0.35,0.12,0.35,3.3,3.3,3.1,6.4,0.20,0.18,0.37,0.20,0.37,Matches
339,João Moutinho\f5a00fa4,pt POR,MF,Wolves,35-203,1986,27,26,2256,25.1,2,1,2,0,0,2,0,0.08,0.04,0.12,0.08,0.12,0.8,0.8,2.2,3.0,0.03,0.09,0.12,0.03,0.12,Matches
340,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,20-173,2001,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
341,Jacob Murphy\de112b84,eng ENG,DFFW,Newcastle Utd,27-034,1995,24,12,1219,13.5,1,1,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,2.1,2.1,1.6,3.7,0.15,0.12,0.27,0.15,0.27,Matches
342,Enock Mwepu\1d5cab82,zm ZAM,MF,Brighton,24-088,1998,11,7,639,7.1,1,3,1,0,0,1,0,0.14,0.42,0.56,0.14,0.56,1.4,1.4,1.1,2.5,0.20,0.16,0.36,0.20,0.36,Matches
343,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,22-305,1999,3,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.10,0.10,0.00,0.10,Matches
344,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,28-070,1994,12,8,758,8.4,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches
